ModelYear,Make,Model,Cylinders,Transmission,CityFE,HwyFE,CombFE,Trans,Gears,Drive,MaxEthanol,FuelType,FuelUnit,AnnualFuelCost
2021,Mini,MINI COOPER SE COUNTRYMAN ALL4,3,Auto(S6),29,30,29,Semi-Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1300
2021,Mitsubishi Motors Corporation,Outlander PHEV,4,Auto(A1),26,26,26,Automatic,1,All Wheel Drive,10,Gasoline (Regular Unleaded Recommended),MPG,1200
2021,Polestar Automotive USA Inc,Polestar 1,4,Auto(S8),22,31,26,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1300
2021,Porsche,Cayenne e-Hybrid,6,Auto(S8),20,22,21,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1950
2021,Porsche,Cayenne e-Hybrid Coupe,6,Auto(S8),20,22,21,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1950
2021,Porsche,Cayenne Turbo S e-Hybrid,8,Auto(S8),17,20,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2300
2021,Porsche,Cayenne Turbo S e-Hybrid Coupe,8,Auto(S8),17,20,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2300
2021,Porsche,Panamera 4 E-Hybrid,6,Auto(AM-S8),21,24,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1800
2021,Porsche,Panamera 4 E-Hybrid Executive,6,Auto(AM-S8),21,24,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1800
2021,Porsche,Panamera 4 E-Hybrid ST,6,Auto(AM-S8),21,24,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1800
2021,Porsche,Panamera 4S E-Hybrid,6,Auto(AM-S8),21,23,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2021,Porsche,Panamera 4S E-Hybrid Executive,6,Auto(AM-S8),21,23,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2021,Porsche,Panamera 4S E-Hybrid ST,6,Auto(AM-S8),21,23,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2021,Porsche,Panamera Turbo S E-Hybrid,8,Auto(AM-S8),18,22,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2050
2021,Porsche,Panamera Turbo S E-Hybrid Exec,8,Auto(AM-S8),18,22,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2050
2021,Porsche,Panamera Turbo S E-Hybrid ST,8,Auto(AM-S8),18,22,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2050
2021,Subaru,CROSSTREK HYBRID AWD,4,Auto(AV),36,35,35,Continuously Variable,1,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,1000
2021,TOYOTA,PRIUS PRIME,4,Auto(AV),55,53,54,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,600
2021,TOYOTA,RAV4 PRIME AWD,4,Auto(AV-S6),40,36,38,Selectable Continuously Variable (e.g. CVT with paddles),6,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,800
2021,"Volvo Cars of North America, LLC",S60 AWD,4,Auto(S8),28,33,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1250
2021,"Volvo Cars of North America, LLC",S90 AWD,4,Auto(S8),28,31,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1350
2021,"Volvo Cars of North America, LLC",V60 AWD,4,Auto(S8),28,33,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1250
2021,"Volvo Cars of North America, LLC",XC60 AWD,4,Auto(S8),26,28,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1500
2021,"Volvo Cars of North America, LLC",XC90 AWD,4,Auto(S8),26,28,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1500
2020,Audi,A8L,6,Auto(S8),21,27,23,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1700
2020,Audi,Q5,4,Auto(AM-S7),25,29,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1400
2020,Bentley,Bentayga,6,Auto(S8),17,21,19,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2050
2020,BMW,530e,4,Auto(S8),25,31,27,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1400
2020,BMW,530e xDrive,4,Auto(S8),23,29,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1550
2020,BMW,745e xDrive,6,Auto(S8),19,26,22,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1800
2020,BMW,I3 with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2020,BMW,I3s with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2020,BMW,I8 Coupe,3,Auto(A6),26,29,27,Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1450
2020,BMW,I8 Roadster,3,Auto(A6),26,29,27,Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1450
2020,BMW,X3 xDrive30e,4,Auto(S8),21,27,24,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650
2020,Chrysler,Pacifica Hybrid,6,Auto(AV),29,30,30,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050
2020,Ford,ESCAPE FWD PHEV,4,Auto(AV),43,38,41,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2020,Ford,FUSION Energi Plug-in Hybrid FWD,4,Auto(AV),43,40,42,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,800
2020,Ford,FUSION SPECIAL SERVICE PHEV,4,Auto(AV),43,40,42,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,800
2020,Honda,Clarity,4,Auto(AV),44,40,42,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,700
2020,HYUNDAI MOTOR COMPANY,Ioniq Plug-in Hybrid,4,Auto(AM6),53,52,52,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,650
2020,Karma Automotive LLC,Revero GT (21-inch wheels),3,Auto(A1),27,25,26,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1150
2020,KIA MOTORS CORPORATION,Niro Plug-in Hybrid,4,Auto(AM6),48,44,46,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2020,KIA MOTORS CORPORATION,Optima plug-in hybrid,4,Auto(AM6),39,44,41,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,800
2020,Land Rover,Range Rover PHEV,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100
2020,Land Rover,Range Rover Sport PHEV,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100
2020,Lincoln,AVIATOR AWD PHEV,6,Auto(S10),22,25,23,Semi-Automatic,10,Part-time 4-Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,1500
2020,Mercedes-Benz,GLC 350 e 4MATIC,4,Auto(A9),23,28,25,Automatic,9,4-Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1450
2020,Mercedes-Benz,S 560 e,6,Auto(A9),21,26,23,Automatic,9,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1600
2020,Mini,MINI COOPER SE COUNTRYMAN ALL4,3,Auto(S6),29,30,29,Semi-Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1350
2020,Mitsubishi Motors Corporation,OUTLANDER PHEV,4,Auto(A1),25,26,25,Automatic,1,All Wheel Drive,10,Gasoline (Regular Unleaded Recommended),MPG,1250
2020,Polestar Automotive USA Inc.,Polestar 1,4,Auto(S8),22,31,26,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1300
2020,Porsche,Cayenne e-Hybrid,6,Auto(S8),20,22,21,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2100
2020,Porsche,Cayenne e-Hybrid Coupe,6,Auto(S8),20,22,21,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2100
2020,Porsche,Cayenne Turbo S e-Hybrid,8,Auto(S8),16,20,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2450
2020,Porsche,Cayenne Turbo S e-Hybrid Coupe,8,Auto(S8),16,20,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2450
2020,Porsche,Panamera 4 e-Hybrid,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2020,Porsche,Panamera 4 e-Hybrid Executive,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2020,Porsche,Panamera 4 e-Hybrid ST,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1850
2020,Porsche,Panamera Turbo S e-Hybrid,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2000
2020,Porsche,Panamera Turbo S e-Hybrid Exec,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2000
2020,Porsche,Panamera Turbo S e-Hybrid ST,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2000
2020,Subaru,CROSSTREK HYBRID AWD,4,Auto(AV),36,35,35,Continuously Variable,1,All Wheel Drive,10,Gasoline (Regular Unleaded Recommended),MPG,1000
2020,TOYOTA,PRIUS PRIME,4,Auto(AV),55,53,54,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,600
2020,"Volvo Cars of North America, LLC",S60 AWD,4,Auto(S8),28,33,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1250
2020,"Volvo Cars of North America, LLC",S90 AWD,4,Auto(S8),28,31,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1350
2020,"Volvo Cars of North America, LLC",V60 AWD,4,Auto(S8),28,33,30,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1250
2020,"Volvo Cars of North America, LLC",XC60 AWD,4,Auto(S8),26,28,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1500
2020,"Volvo Cars of North America, LLC",XC90 AWD,4,Auto(S8),26,28,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1500
2019,BMW,530e,4,Auto(S8),27,30,29,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1300
2019,BMW,530e xDrive,4,Auto(S8),27,31,28,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1350
2019,BMW,740e xDrive,4,Auto(S8),25,29,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1450
2019,BMW,I3 with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2019,BMW,I3s with Range Extender,2,Auto(A1),30,31,31,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,700
2019,BMW,I8 Coupe,3,Auto(A6),26,29,27,Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1350
2019,BMW,I8 Roadster,3,Auto(A6),26,29,27,Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1350
2019,Chevrolet,VOLT,4,Auto(AV),43,42,42,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,650
2019,Chrysler,Pacifica Hybrid,6,Auto(AV),29,30,30,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1000
2019,Ford,Fusion Energi Plug-in Hybrid FWD,4,Auto(AV),43,40,42,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2019,Ford,Fusion Special Service Vehicle PHEV,4,Auto(AV),43,40,42,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2019,Honda,Clarity,4,Auto(AV),44,40,42,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,700
2019,HYUNDAI MOTOR COMPANY,Ioniq Plug-in Hybrid,4,Auto(AM6),53,52,52,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,650
2019,HYUNDAI MOTOR COMPANY,Sonata plug-in hybrid,4,Auto(AM6),37,42,39,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,800
2019,Karma Automotive LLC,Revero,4,Auto(A1),19,21,20,Automatic,1,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Required),MPG,1500
2019,KIA MOTORS CORPORATION,Niro Plug-in Hybrid,4,Auto(AM6),48,44,46,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,700
2019,KIA MOTORS CORPORATION,Optima plug-in hybrid,4,Auto(AM6),38,43,40,Automated Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
2019,Land Rover,Range Rover,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2000
2019,Land Rover,Range Rover Sport,4,Auto(S8),18,21,19,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2000
2019,Mini,MINI COOPER SE COUNTRYMAN ALL4,3,Auto(S6),28,27,27,Semi-Automatic,6,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1450
2019,Mercedes-Benz,GLC 350e 4MATIC,4,Auto(A7),24,27,25,Automatic,7,4-Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1550
2019,Mercedes-Benz,S 560 e,4,Auto(A9),21,26,23,Automatic,9,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1500
2019,Mitsubishi Motors Corporation,OUTLANDER PHEV,4,Auto(A1),25,26,25,Automatic,1,All Wheel Drive,10,Gasoline (Regular Unleaded Recommended),MPG,1200
2019,Porsche,Cayenne e-Hybrid,6,Auto(S8),20,22,21,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1900
2019,Porsche,Panamera 4 e-Hybrid,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1750
2019,Porsche,Panamera 4 e-Hybrid Executive,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1750
2019,Porsche,Panamera 4 e-Hybrid ST,6,Auto(AM-S8),21,24,23,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1750
2019,Porsche,Panamera Turbo S e-Hybrid,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1700
2019,Porsche,Panamera Turbo S e-Hybrid Executive,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1700
2019,Porsche,Panamera Turbo S e-Hybrid ST,8,Auto(AM-S8),19,22,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1700
2019,Subaru,CROSSTREK HYBRID AWD,4,Auto(AV),36,35,35,Continuously Variable,1,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,950
2019,TOYOTA,PRIUS PRIME,4,Auto(AV),55,53,54,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,600
2019,"Volvo Cars of North America, LLC",S60 AWD,4,Auto(S8),29,34,31,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1150
2019,"Volvo Cars of North America, LLC",S90 AWD,4,Auto(S8),26,33,29,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1250
2019,"Volvo Cars of North America, LLC",XC60 AWD,4,Auto(S8),25,28,26,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1450
2019,"Volvo Cars of North America, LLC",XC90 AWD,4,Auto(S8),24,27,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1500
2018,Audi,A3 e-tron,4,Auto(AM-S6),34,39,36,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Premium Unleaded Recommended),MPG,1000
2018,BMW,330e,4,Auto(S8),28,34,30,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1200
2018,BMW,530e,4,Auto(S8),27,31,29,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1250
2018,BMW,530e xDrive,4,Auto(S8),27,31,28,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1300
2018,BMW,740e xDrive,4,Auto(S8),25,29,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1350
2018,BMW,I3 (94Ah) with Range Extender,2,Auto(A1),36,33,35,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,650
2018,BMW,I3s (94Ah) with Range Extender,2,Auto(A1),36,33,35,Automatic,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,650
2018,BMW,X5 xDrive40e,4,Auto(S8),23,25,24,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1550
2018,Cadillac,CT6 PLUG-IN,4,Auto(AV),23,29,25,Continuously Variable,1,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1300
2018,Chevrolet,VOLT,4,Auto(AV),43,42,42,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,650
2018,Chrysler,Pacifica Hybrid,6,Auto(AV),32,33,32,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,900
2018,Ford,FUSION Energi Plug-in Hybrid FWD,4,Auto(AV),43,41,42,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,750
