Model Yr ,Division,Carline,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Trans Desc,# Gears,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. 
2021,Porsche,Taycan Turbo,,Auto(A2),71,75,73,Automatic,2,All Wheel Drive,,Electricity,MPG,850,850
2021,Porsche,Taycan Turbo,,Auto(A2),46,43,45,Automatic,2,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2021,Porsche,Taycan Turbo S,,Auto(A2),69,71,70,Automatic,2,All Wheel Drive,,Electricity,MPG,950,950
2021,Porsche,Taycan Turbo S,,Auto(A2),49,47,48,Automatic,2,All Wheel Drive,,Electricity,KW-HR/100Miles,950,950
2021,Tesla Motors,Model 3 Long Range AWD,,Auto(A1),141,127,134,Automatic,1,All Wheel Drive,,Electricity,MPG,500,500
2021,Tesla Motors,Model 3 Long Range AWD,,Auto(A1),24,27,25,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,500,500
2021,Tesla Motors,Model 3 Performance AWD,,Auto(A1),118,107,113,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2021,Tesla Motors,Model 3 Performance AWD,,Auto(A1),29,32,30,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2021,Tesla Motors,Model 3 Standard Range Plus RWD,,Auto(A1),150,133,142,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,450,450
2021,Tesla Motors,Model 3 Standard Range Plus RWD,,Auto(A1),22,25,24,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,450,450
2021,Tesla Motors,Model S Long Range,,Auto(A1),124,115,120,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2021,Tesla Motors,Model S Long Range,,Auto(A1),27,29,28,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,550,550
2021,Tesla Motors,"Model S Performance (19"" Wheels)",,Auto(A1),114,106,110,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2021,Tesla Motors,"Model S Performance (19"" Wheels)",,Auto(A1),30,32,31,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2021,Tesla Motors,"Model S Performance (21"" Wheels)",,Auto(A1),98,93,96,Automatic,1,All Wheel Drive,,Electricity,MPG,700,0
2021,Tesla Motors,"Model S Performance (21"" Wheels)",,Auto(A1),34,36,35,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2021,Tesla Motors,"Model S Plaid (21"" Wheels)",,Auto(A1),102,99,101,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2021,Tesla Motors,"Model S Plaid (21"" Wheels)",,Auto(A1),33,34,33,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2021,Tesla Motors,Model X Long Range Plus,,Auto(A1),109,101,105,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2021,Tesla Motors,Model X Long Range Plus,,Auto(A1),31,33,32,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2021,Tesla Motors,"Model X Performance (20"" Wheels)",,Auto(A1),100,95,97,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2021,Tesla Motors,"Model X Performance (20"" Wheels)",,Auto(A1),34,35,35,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2021,Tesla Motors,"Model X Performance (22"" Wheels)",,Auto(A1),89,83,86,Automatic,1,All Wheel Drive,,Electricity,MPG,750,750
2021,Tesla Motors,"Model X Performance (22"" Wheels)",,Auto(A1),38,41,39,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,750,750
2021,Tesla Motors,Model Y Long Range AWD,,Auto(A1),131,117,125,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2021,Tesla Motors,Model Y Long Range AWD,,Auto(A1),26,29,27,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,550,550
2021,Tesla Motors,Model Y Performance AWD,,Auto(A1),115,106,111,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2021,Tesla Motors,Model Y Performance AWD,,Auto(A1),29,32,30,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2021,Tesla Motors,Model Y Standard Range RWD,,Auto(A1),140,119,129,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2021,Tesla Motors,Model Y Standard Range RWD,,Auto(A1),24,28,26,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,500,500
2021,Volkswagen,ID.4 1st,,Auto(A1),104,89,97,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,700,700
2021,Volkswagen,ID.4 1st,,Auto(A1),32,37,35,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,700,700
2021,Volkswagen,ID.4 Pro,,Auto(A1),107,91,99,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,650,650
2021,Volkswagen,ID.4 Pro,,Auto(A1),31,36,34,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,650,650
2021,Volkswagen,ID.4 Pro S,,Auto(A1),104,89,97,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,700,700
2021,Volkswagen,ID.4 Pro S,,Auto(A1),32,37,35,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,700,700
2021,"Volvo Cars of North America, LLC",XC40 AWD BEV,,Auto(A1),85,72,79,Automatic,1,All Wheel Drive,,Electricity,MPG,850,850
2021,"Volvo Cars of North America, LLC",XC40 AWD BEV,,Auto(A1),39,47,43,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2020,Audi,e-tron Sportback,,Auto(A1),76,78,77,Automatic,1,All Wheel Drive,,Electricity,MPG,850,850
2020,BMW,I3,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2020,BMW,I3s,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2020,BYD,e6,,Auto(A1),73,71,72,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,900,900
2020,Chevrolet,BOLT EV,,Auto(AV),127,108,118,Continuously Variable,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2020,HYUNDAI MOTOR COMPANY,Ioniq Electric,,Auto(A1),145,121,133,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,500,500
2020,HYUNDAI MOTOR COMPANY,Kona Electric,,Auto(A1),132,108,120,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2020,Jaguar,I-PACE,,Auto(A1),80,72,76,Automatic,1,4-Wheel Drive,,Electricity,MPG,850,850
2020,KIA MOTORS CORPORATION,Niro Electric,,Auto(A1),123,102,112,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2020,KIA MOTORS CORPORATION,Soul Electric,,Auto(A1),127,101,114,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2020,Mini,COOPER SE HARDTOP 2 DOOR,,Auto(A1),115,100,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2020,NISSAN,LEAF,,Auto(A1),123,99,111,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2020,NISSAN,LEAF,,Auto(A1),118,97,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,0
2020,NISSAN,LEAF SV/SL,,Auto(A1),114,94,104,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,650,650
2020,Porsche,Taycan Turbo,,Auto(A2),68,71,69,Automatic,2,All Wheel Drive,,Electricity,MPG,950,950
2020,Porsche,Taycan Turbo S,,Auto(A2),67,68,68,Automatic,2,All Wheel Drive,,Electricity,MPG,950,950
2020,Porsche,Taycan 4S Perf Battery Plus,,Auto(A2),68,71,69,Automatic,2,All Wheel Drive,,Electricity,MPG,950,950
2020,Tesla Motors,Model 3 Long Range,,Auto(A1),136,123,130,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2020,Tesla Motors,Model 3 Long Range AWD,,Auto(A1),124,116,121,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,Model 3 Mid Range,,Auto(A1),128,117,123,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,550,550
2020,Tesla Motors,Model 3 Standard Range,,Auto(A1),138,124,131,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2020,Tesla Motors,Model 3 Standard Range Plus,,,148,132,141,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,450,450
2020,Tesla Motors,"Model 3 Long Range Perf. AWD (18"")",,Auto(A1),124,116,121,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,"Model 3 Long Range Perf. AWD (19"")",,Auto(A1),119,112,116,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,"Model 3 Long Range Perf. AWD (20"")",,Auto(A1),118,107,113,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2020,Tesla Motors,Model S Long Range,,Auto(A1),115,107,111,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2020,Tesla Motors,Model S Long Range Plus,,Auto(A1),121,112,117,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,"Model S Performance (19"" Wheels)",,Auto(A1),104,104,104,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2020,Tesla Motors,"Model S Performance (21"" Wheels)",,Auto(A1),98,96,97,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2020,Tesla Motors,Model S Standard Range,,Auto(A1),113,105,109,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2020,Tesla Motors,Model X Long Range,,Auto(A1),99,93,96,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2020,Tesla Motors,Model X Long Range Plus,,Auto(A1),108,101,105,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2020,Tesla Motors,"Model X Performance (20"" Wheels)",,Auto(A1),90,89,90,Automatic,1,All Wheel Drive,,Electricity,MPG,750,750
2020,Tesla Motors,"Model X Performance (22"" Wheels)",,Auto(A1),80,77,79,Automatic,1,All Wheel Drive,,Electricity,MPG,850,850
2020,Tesla Motors,Model X Standard Range,,Auto(A1),105,98,101,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2020,Tesla Motors,Model Y Long Range AWD,,Auto(A1),127,114,121,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,Model Y Performance AWD,,Auto(A1),129,112,121,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2020,Tesla Motors,"Model Y Performance AWD (21"")",,Auto(A1),116,106,111,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2019,Audi,e-tron,,Auto(A1),74,73,74,Automatic,1,All Wheel Drive,,Electricity,MPG,900,900
2019,BMW,I3,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2019,BMW,I3s,,Auto(A1),124,102,113,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2019,Chevrolet,BOLT EV,,Auto(A1),128,110,119,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2019,FIAT,500e,,Auto(A1),121,103,112,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,FIAT,500e,,Auto(A1),28,33,30,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2019,Honda,Clarity,,Auto(A1),126,103,114,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,Honda,Clarity,,Auto(A1),27,33,30,Automatic,1,"2-Wheel Drive, Front",,Electricity,KW-HR/100Miles,600,600
2019,HYUNDAI MOTOR COMPANY,Ioniq Electric,,Auto(A1),150,122,136,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,500,500
2019,HYUNDAI MOTOR COMPANY,Kona Electric,,Auto(A1),132,108,120,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
2019,Jaguar,I-PACE,,Auto(A1),80,72,76,Automatic,1,4-Wheel Drive,,Electricity,MPG,850,850
2019,KIA MOTORS CORPORATION,Niro Electric,,Auto(A1),123,102,112,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,KIA MOTORS CORPORATION,Soul Electric,,Auto(A1),124,93,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,Mercedes-Benz,smart EQ fortwo (coupe),,Auto(A1),124,94,108,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2019,Mercedes-Benz,smart EQ fortwo (coupe),,Auto(A1),27,36,31,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,600,600
2019,Mercedes-Benz,smart EQ fortwo (convertible),,Auto(A1),112,91,102,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,650,650
2019,Mercedes-Benz,smart EQ fortwo (convertible),,Auto(A1),30,37,33,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,650,650
2019,NISSAN,LEAF,,Auto(A1),124,99,112,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,NISSAN,LEAF,,Auto(A1),118,97,108,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,600,600
2019,NISSAN,LEAF SV/SL,,Auto(A1),114,94,104,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,650,650
2019,Tesla Motors,Model 3 Standard Range,,Auto(A1),138,124,131,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2019,Tesla Motors,Model 3 Standard Range,,Auto(A1),24,27,26,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,500,500
2019,Tesla Motors,Model 3 Standard Range Plus,,Auto(A1),140,124,133,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2019,Tesla Motors,Model 3 Standard Range Plus,,Auto(A1),24,27,25,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,500,500
2019,Tesla Motors,Model 3 Mid Range,,Auto(A1),128,117,123,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,550,550
2019,Tesla Motors,Model 3 Mid Range,,Auto(A1),26,29,27,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,550,550
2019,Tesla Motors,Model 3 Long Range,,Auto(A1),136,123,130,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,500,500
2019,Tesla Motors,Model 3 Long Range,,Auto(A1),25,27,26,Automatic,1,"2-Wheel Drive, Rear",,Electricity,KW-HR/100Miles,500,500
2019,Tesla Motors,Model 3 Long Range AWD,,Auto(A1),120,112,116,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2019,Tesla Motors,Model 3 Long Range AWD,,Auto(A1),28,30,29,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,550,550
2019,Tesla Motors,Model3 LongRange AWD Performance,,Auto(A1),120,112,116,Automatic,1,All Wheel Drive,,Electricity,MPG,550,550
2019,Tesla Motors,Model3 LongRange AWD Performance,,Auto(A1),28,30,29,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,550,550
2019,Tesla Motors,Model S 75D,,Auto(A1),102,105,103,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2019,Tesla Motors,Model S 75D,,Auto(A1),33,32,33,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2019,Tesla Motors,Model S 100D,,Auto(A1),101,102,102,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2019,Tesla Motors,Model S 100D,,Auto(A1),33,33,33,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2019,Tesla Motors,Model S P100D,,Auto(A1),92,105,98,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2019,Tesla Motors,Model S P100D,,Auto(A1),36,32,35,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2019,Tesla Motors,Model S Standard Range,,Auto(A1),113,105,109,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2019,Tesla Motors,Model S Standard Range,,Auto(A1),30,32,31,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2019,Tesla Motors,Model S Long Range,,Auto(A1),115,107,111,Automatic,1,All Wheel Drive,,Electricity,MPG,600,600
2019,Tesla Motors,Model S Long Range,,Auto(A1),29,31,30,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,600,600
2019,Tesla Motors,"Model S Performance (19"" Wheels)",,Auto(A1),104,104,104,Automatic,1,All Wheel Drive,,Electricity,MPG,650,650
2019,Tesla Motors,"Model S Performance (19"" Wheels)",,Auto(A1),32,33,32,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,650,650
2019,Tesla Motors,"Model S Performance (21"" Wheels)",,Auto(A1),98,96,97,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2019,Tesla Motors,"Model S Performance (21"" Wheels)",,Auto(A1),34,35,35,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2019,Tesla Motors,Model X 75D,,Auto(A1),91,95,93,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2019,Tesla Motors,Model X 75D,,Auto(A1),37,35,36,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2019,Tesla Motors,Model X 100D,,Auto(A1),86,89,87,Automatic,1,All Wheel Drive,,Electricity,MPG,750,750
2019,Tesla Motors,Model X 100D,,Auto(A1),39,38,39,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,750,750
2019,Tesla Motors,Model X P100D,,Auto(A1),83,89,85,Automatic,1,All Wheel Drive,,Electricity,MPG,750,750
2019,Tesla Motors,Model X P100D,,Auto(A1),41,38,40,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,750,750
2019,Tesla Motors,Model X Long Range,,Auto(A1),99,93,96,Automatic,1,All Wheel Drive,,Electricity,MPG,700,700
2019,Tesla Motors,Model X Long Range,,Auto(A1),34,36,35,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,700,700
2019,Tesla Motors,"Model X Performance (22"" Wheels)",,Auto(A1),80,77,79,Automatic,1,All Wheel Drive,,Electricity,MPG,850,0
2019,Tesla Motors,"Model X Performance (22"" Wheels)",,Auto(A1),42,44,43,Automatic,1,All Wheel Drive,,Electricity,KW-HR/100Miles,850,850
2019,Volkswagen,e-Golf,,Auto(A1),126,111,119,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,0
2018,BMW,I3 (94Ah),,Auto(A1),129,106,118,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,550,550
2018,BMW,I3s (94Ah),,Auto(A1),126,99,112,Automatic,1,"2-Wheel Drive, Rear",,Electricity,MPG,600,600
2018,BYD,e6,,Auto(A1),73,71,72,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,900,900
2018,Chevrolet,BOLT EV,,Auto(A1),128,110,119,Automatic,1,"2-Wheel Drive, Front",,Electricity,MPG,550,550
