ModelYear,Make,Model,Cylinders,Transmission,CityFE,HwyFE,CombFE,Trans,Gears,Drive,MaxEthanol,FuelType,FuelUnit,AnnualFuelCost
2016,HYUNDAI MOTOR COMPANY,Tucson Fuel Cell,,Auto(A1),49,51,50,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPG,1700
2016,HYUNDAI MOTOR COMPANY,Tucson Fuel Cell,,Auto(A1),48,50,49,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1700
2016,TOYOTA,MIRAI,,Auto(AV),67,67,67,Continuously Variable,1,"2-Wheel Drive, Front",,Hydrogen,MPG,1250
2016,TOYOTA,MIRAI,,Auto(AV),66,66,66,Continuously Variable,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1250
2015,HYUNDAI MOTOR COMPANY,Tucson Fuel Cell,,Auto(A1),49,51,50,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPG,1700
2014,Honda,FCX Clarity,,Auto(A1),59,61,60,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPG,1400
2012,Mercedes-Benz,F-Cell,,Auto(A1),52,53,53,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1598
2011,Honda,FCX,,Auto(A1),60,60,60,Other,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1390
2011,Mercedes-Benz,F-Cell,,Auto(A1),52,53,53,Automatic,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1573
2010,Honda,FCX,,Auto(A1),60,60,60,Other,1,"2-Wheel Drive, Front",,Hydrogen,MPK,1390
