Model Year,Division,Carline,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Trans Desc,# Gears,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. 
2022,Mini,COOPER CONVERTIBLE,3,Manual(M6),27,37,31,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1450,1450
2022,Mini,COOPER S CONVERTIBLE,4,Auto(AM-S7),27,36,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1500,1500
2022,Mini,COOPER S CONVERTIBLE,4,Manual(M6),23,33,26,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1700,1700
2022,Mini,JOHN COOPER WORKS CONVERTIBLE,4,Auto(S8),24,33,28,Semi-Automatic,8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,Audi,A5 Cabriolet quattro,4,Auto(AM-S7),23,31,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1700,1700
2022,Audi,A5 Coupe quattro,4,Auto(AM-S7),24,31,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Audi,RS 5 Coupe,6,Auto(S8),18,25,21,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100,2100
2022,Audi,S5 Cabriolet,6,Auto(S8),21,28,23,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1900,1900
2022,Audi,S5 Coupe,6,Auto(S8),21,30,24,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,Audi,TT Coupe quattro,4,Auto(AM-S7),23,30,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Regular Unleaded Recommended),MPG,1350,1350
2022,Bentley,Continental GT,8,Auto(AM-S8),16,26,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,BMW,430i xDrive Convertible,4,Auto(S8),23,33,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,BMW,430i xDrive Coupe,4,Auto(S8),23,33,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,BMW,840i Convertible,6,Auto(S8),22,29,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,BMW,840i Coupe,6,Auto(S8),23,30,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,BMW,840i xDrive Convertible,6,Auto(S8),20,27,23,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1900,1900
2022,BMW,840i xDrive Coupe,6,Auto(S8),20,27,23,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1900,1900
2022,BMW,M4 Competition Coupe,6,Auto(S8),16,23,19,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2350,2350
2022,BMW,M4 Coupe,6,Manual(M6),16,23,19,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2350,2350
2022,BMW,M440i Convertible,6,Auto(S8),23,31,26,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1700,1700
2022,BMW,M440i Coupe,6,Auto(S8),25,34,28,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,BMW,M4CompetitionMxDriveConvertible,6,Auto(S8),16,23,18,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,2450,2450
2022,BMW,M8 Competition Convertible,8,Auto(S8),15,21,17,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,BMW,M8 Competition Coupe,8,Auto(S8),15,21,17,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,BMW,M850i xDrive Convertible,8,Auto(S8),17,24,19,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,BMW,M850i xDrive Coupe,8,Auto(S8),17,25,20,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2200,2200
2022,Chevrolet,CAMARO,4,Auto(S8),22,30,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1750,1750
2022,Chevrolet,CAMARO,4,Manual(M6),19,29,22,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2000,2000
2022,Chevrolet,CAMARO,8,Auto(S10),13,21,16,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2750,2750
2022,Chevrolet,CAMARO,8,Manual(M6),14,20,16,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2750,2750
2022,Chevrolet,SPARK,4,Auto(AV),30,38,33,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,Chevrolet,SPARK,4,Manual(M5),29,38,33,Manual,5,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,Chevrolet,SPARK ACTIV,4,Auto(AV),30,37,33,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,Chevrolet,SPARK ACTIV,4,Manual(M5),29,37,32,Manual,5,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1100,1100
2022,Mini,COOPER HARDTOP 2 DOOR,3,Auto(AM-S7),29,38,32,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1400,1400
2022,Mini,COOPER HARDTOP 2 DOOR,3,Manual(M6),27,37,31,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1450,1450
2022,Mini,COOPER HARDTOP 4 DOOR,3,Auto(AM-S7),29,38,32,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1400,1400
2022,Mini,COOPER HARDTOP 4 DOOR,3,Manual(M6),27,37,31,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1450,1450
2022,Mini,COOPER S HARDTOP 2 DOOR,4,Auto(AM-S7),28,38,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1450,1450
2022,Mini,COOPER S HARDTOP 2 DOOR,4,Manual(M6),23,33,27,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Mini,COOPER S HARDTOP 4 DOOR,4,Auto(AM-S7),28,38,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1450,1450
2022,Mini,COOPER S HARDTOP 4 DOOR,4,Manual(M6),23,33,27,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Mini,JOHN COOPER WORKS HARDTOP 2 DOOR,4,Auto(S8),25,34,29,Semi-Automatic,8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1550,1550
2022,Mini,JOHN COOPER WORKS HARDTOP 2 DOOR,4,Manual(M6),22,31,25,Manual,6,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,Acura,ILX,4,Auto(AM-S8),24,34,28,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,Audi,A4 quattro,4,Auto(AM-S7),26,34,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1550,1550
2022,Audi,A4 S line quattro,4,Auto(AM-S7),24,31,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Audi,S4,6,Auto(S8),21,30,24,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,BMW,228i Gran Coupe,4,Auto(S8),24,34,28,Semi-Automatic,8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,BMW,228i xDrive Gran Coupe,4,Auto(S8),23,33,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,BMW,330i Sedan,4,Auto(S8),26,36,30,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1500,1500
2022,BMW,330i xDrive Sedan,4,Auto(S8),25,34,28,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,BMW,M3 Competition Sedan,6,Auto(S8),16,23,19,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2350,2350
2022,BMW,M3 Sedan,6,Manual(M6),16,23,19,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2350,2350
2022,BMW,M440i xDrive Gran Coupe,6,Auto(S8),22,29,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,Cadillac,CT4,4,Auto(S8),23,34,27,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1650,1650
2022,Cadillac,CT4 AWD,4,Auto(S8),22,31,26,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1700,1700
2022,Cadillac,CT4 V,6,Auto(S10),16,24,19,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2350,2350
2022,Cadillac,CT4 V,6,Manual(M6),15,23,18,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2450,2450
2022,GENESIS,G70 AWD,4,Auto(S8),20,28,23,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1900,1900
2022,GENESIS,G70 AWD,6,Auto(S8),17,25,20,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2200,2200
2022,GENESIS,G70 RWD,4,Auto(S8),21,31,24,Semi-Automatic,8,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,GENESIS,G70 RWD,6,Auto(S8),18,27,21,Semi-Automatic,8,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Recommended),MPG,2100,2100
2022,Honda,INSIGHT TOURING,4,Auto(AV),51,45,48,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,750,750
2022,HYUNDAI MOTOR COMPANY,Accent,4,Auto(AV-S1),33,41,36,Selectable Continuously Variable (e.g. CVT with paddles),1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1000,1000
2022,HYUNDAI MOTOR COMPANY,Veloster N,4,Auto(AM-S8),20,27,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,"2-Wheel Drive, Front",15,Gasoline (Premium Unleaded Recommended),MPG,2000,2000
2022,HYUNDAI MOTOR COMPANY,Veloster N,4,Manual(M6),22,28,25,Manual,6,"2-Wheel Drive, Front",15,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,TOYOTA,COROLLA,4,Auto(AV),30,38,33,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,TOYOTA,COROLLA,4,Manual(M6),29,39,33,Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,TOYOTA,COROLLA,4,Auto(AV-S10),31,40,34,Selectable Continuously Variable (e.g. CVT with paddles),10,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,TOYOTA,COROLLA,4,Manual(M6),29,36,32,Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1100,1100
2022,TOYOTA,COROLLA APEX,4,Auto(AV-S10),31,38,34,Selectable Continuously Variable (e.g. CVT with paddles),10,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,TOYOTA,COROLLA APEX,4,Manual(M6),28,36,31,Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1150,1150
2022,TOYOTA,COROLLA HYBRID,4,Auto(AV),53,52,52,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,700,700
2022,TOYOTA,COROLLA XLE,4,Auto(AV),29,37,32,Continuously Variable,1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1100,1100
2022,TOYOTA,COROLLA XSE,4,Auto(AV-S10),31,38,34,Selectable Continuously Variable (e.g. CVT with paddles),10,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,"Volvo Cars of North America, LLC",S60 B5,4,Auto(S8),26,35,30,Semi-Automatic,8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Required),MPG,1500,1500
2022,"Volvo Cars of North America, LLC",S60 B5 AWD,4,Auto(S8),25,33,28,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1600,1600
2022,Audi,A5 Sportback quattro,4,Auto(AM-S7),26,34,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1550,1550
2022,Audi,A5 Sportback S line quattro,4,Auto(AM-S7),24,31,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Audi,A6 quattro,4,Auto(AM-S7),23,32,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1700,1700
2022,Audi,A6 quattro,6,Auto(AM-S7),21,30,24,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,Audi,A7 quattro,6,Auto(AM-S7),21,30,24,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,Audi,RS 5 Sportback,6,Auto(S8),18,25,21,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2100,2100
2022,Audi,RS 7,8,Auto(S8),15,22,17,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,Audi,S5 Sportback,6,Auto(S8),21,30,24,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,Audi,S6,6,Auto(S8),18,28,22,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2000,2000
2022,Audi,S7,6,Auto(S8),18,28,22,Semi-Automatic,8,4-Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2000,2000
2022,Bentley,Flying Spur,8,Auto(AM-S8),15,20,17,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,BMW,530i Sedan,4,Auto(S8),25,33,28,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1600,1600
2022,BMW,540i xDrive Sedan,6,Auto(S8),22,29,25,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,BMW,840i Gran Coupe,6,Auto(S8),22,29,25,Semi-Automatic,8,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,BMW,840i xDrive Gran Coupe,6,Auto(S8),20,27,23,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1900,1900
2022,BMW,ALPINA B8 Gran Coupe,8,Auto(S8),17,24,19,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,BMW,M5 CS Sedan,8,Auto(S8),15,21,17,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,BMW,M8 Competition Gran Coupe,8,Auto(S8),15,21,17,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2600,2600
2022,BMW,M850i xDrive Gran Coupe,8,Auto(S8),17,24,19,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,2350,2350
2022,BMW,X2 M35i,4,Auto(S8),23,30,26,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1700,1700
2022,BMW,X2 sDrive28i,4,Auto(S8),24,32,27,Semi-Automatic,8,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,BMW,X2 xDrive28i,4,Auto(S8),24,31,27,Semi-Automatic,8,All Wheel Drive,10,Gasoline (Premium Unleaded Recommended),MPG,1650,1650
2022,Cadillac,CT5,4,Auto(S10),23,33,27,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,1650,1650
2022,Cadillac,CT5,6,Auto(S10),19,27,22,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2000,2000
2022,Cadillac,CT5 AWD,4,Auto(S10),22,30,25,Semi-Automatic,10,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,1750,1750
2022,Cadillac,CT5 AWD,6,Auto(S10),18,26,21,Semi-Automatic,10,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,2100,2100
2022,Cadillac,CT5 V,6,Auto(S10),18,27,21,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2100,2100
2022,Cadillac,CT5 V,8,Auto(S10),13,22,16,Semi-Automatic,10,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2750,2750
2022,Cadillac,CT5 V,8,Manual(M6),13,21,15,Manual,6,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),MPG,2950,2950
2022,Cadillac,CT5 V AWD,6,Auto(S10),18,26,21,Semi-Automatic,10,All Wheel Drive,10,Gasoline (Premium Unleaded Required),MPG,2100,2100
2022,Chevrolet,MALIBU,4,Auto(AV),29,36,32,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1100,1100
2022,Chevrolet,MALIBU,4,Auto(A9),22,33,26,Automatic,9,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Required),MPG,1700,1700
2022,Honda,CIVIC 4Dr,4,Auto(AV),33,42,36,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1000,1000
2022,Honda,CIVIC 4Dr,4,Auto(AV-S7),31,38,34,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,Honda,CIVIC 4Dr,4,Auto(AV),31,40,35,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1000,1000
2022,Honda,CIVIC 4Dr,4,Auto(AV-S7),30,37,33,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,1050,1050
2022,Honda,INSIGHT,4,Auto(AV),55,49,52,Continuously Variable,1,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),MPG,700,700
2022,HYUNDAI MOTOR COMPANY,Elantra,4,Auto(AM-S7),28,36,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1150,1150
2022,HYUNDAI MOTOR COMPANY,Elantra,4,Manual(M6),25,34,28,Manual,6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1250,1250
2022,HYUNDAI MOTOR COMPANY,Elantra,4,Auto(AV-S1),33,43,37,Selectable Continuously Variable (e.g. CVT with paddles),1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,950,950
2022,HYUNDAI MOTOR COMPANY,Elantra,4,Auto(AV-S1),31,41,35,Selectable Continuously Variable (e.g. CVT with paddles),1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1000,1000
2022,HYUNDAI MOTOR COMPANY,Elantra Hybrid,4,Auto(AM-S6),49,52,50,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,700,700
2022,HYUNDAI MOTOR COMPANY,Elantra Hybrid Blue,4,Auto(AM-S6),53,56,54,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,650,650
2022,HYUNDAI MOTOR COMPANY,Venue,4,Auto(AV-S1),29,33,31,Selectable Continuously Variable (e.g. CVT with paddles),1,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),MPG,1150,1150
2022,KIA,Stinger AWD,4,Auto(S8),21,29,24,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,1850,1850
2022,KIA,Stinger AWD,6,Auto(S8),17,24,20,Semi-Automatic,8,All Wheel Drive,15,Gasoline (Premium Unleaded Recommended),MPG,2200,2200
2022,KIA,Stinger RWD,4,Auto(S8),22,32,25,Semi-Automatic,8,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Recommended),MPG,1750,1750
2022,KIA,Stinger RWD,6,Auto(S8),18,25,20,Semi-Automatic,8,"2-Wheel Drive, Rear",15,Gasoline (Premium Unleaded Recommended),MPG,2200,2200
2022,Mini,COOPER COUNTRYMAN,3,Auto(AM-S7),26,33,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",10,Gasoline (Premium Unleaded Recommended),MPG,1550,1550
